path[directory:/ifs/],dir_cnt (count),file_cnt (count),ads_cnt,other_cnt (count),log_size_sum (bytes),phys_size_sum (bytes),log_size_sum_overflow,report_date: 1756656614
/ifs/Dalet/DPSHARE/RSU,100,501909,0,0,4.20181E+15,5.4247E+15,0,
/ifs/Dalet/DPSHARE/LSU,114,2310990,0,0,1.52833E+15,2.00777E+15,0,
/ifs/Dalet/DPSHARE/ESU,16,14248,0,0,3.68301E+14,4.47979E+14,0,
/ifs/Dalet/MediaPrimaShare,58897,1203846,0,0,7.28714E+13,9.58684E+13,0,
/ifs/tmp,3,4920,0,0,4.83349E+13,5.73292E+13,0,
/ifs/Diva,8,9215,0,0,4.66345E+13,5.66489E+13,0,
/ifs/Diva_Direct,24,4137,0,0,2.91018E+13,3.68075E+13,0,
/ifs/RC_Transit,7835,69164,0,0,1.21106E+13,1.53019E+13,0,
/ifs/data,129,4574,0,0,8.84087E+12,1.10151E+13,0,
/ifs/PWD_Clean_Version,2,354,0,0,7.61443E+12,1.10046E+13,0,
/ifs/AsperaData,5,259,0,0,4.59125E+12,6.90879E+12,0,
/ifs/Diva_Restore,2,5539,0,0,2.95299E+12,3.87332E+12,0,
/ifs/DB_Backup,260,1584,0,0,5.18361E+11,6.55297E+11,0,
/ifs/LogsTest,1,307,0,0,3.64112E+11,4.35808E+11,0,
/ifs/PE_Dump_Folder,8,23484339,0,0,79173063532,1.48805E+12,0,
/ifs/aspera_git,18,170,0,0,51655768754,79286079488,0,
/ifs/Amberfin,1,22,0,0,41675385679,49825063936,0,
/ifs/Tonton_DailyTransit,1,3,0,0,30382785671,38753376768,0,
/ifs/collectedlog,1,1780,0,0,22395162026,28415294976,0,
/ifs/Amberfin_WC,1,5,0,0,5808952123,6925650432,0,
/ifs/PE_Transit_Folder,3500,11771,0,0,2834240249,7507268608,0,
/ifs/home,41,324,0,0,583140518,701728768,0,
/ifs/SD_Only,1,2,0,0,206916,707072,0,
/ifs/XML_MXF,2,4,0,0,83385,486400,0,
/ifs/DDN_Backup,1,1,0,0,16411,108544,0,
/ifs/BMPG,5,0,0,0,130,51200,0,
/ifs/Commercial_Transit,1,0,0,0,0,40960,0,
/ifs/Temporary_Amberfin_Folder_Done,1,0,0,0,0,2560,0,
/ifs/IMSXDCAM,1,0,0,0,0,32768,0,
